name_en,name_ta,slug,description_en,description_ta,short_description_en,short_description_ta,sku,price,sale_price,stock,weight,unit,category_id,is_active,is_featured,is_bestseller,tax_rate,nutritional_info_en,nutritional_info_ta,meta_title,meta_description,sort_order
"Ultra Clean Floor Cleaner - Lemon Fragrance","அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் - எலுமிச்சை வாசனை","ultra-clean-floor-cleaner-lemon","Naturecare Ultra Clean Floor Cleaner with Lemon Fragrance. Advanced formula that removes tough stains and provides sparkling shine. Superior fragrance leaves your home fresh and clean. 5 Liter pack.","நேச்சர்கேர் அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் எலுமிச்சை வாசனையுடன். கடினமான கறைகளை நீக்கி மின்னும் ஒளியைத் தரும் மேம்பட்ட சூத்திரம்.","Advanced floor cleaner with lemon fragrance - 5L","மேம்பட்ட தரை சுத்தப்படுத்தி எலுமிச்சை வாசனை - 5L","NC-FC-LEM-001",450,399,100,5,L,7,true,true,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Ultra Clean Floor Cleaner Lemon 5L - Naturecare","Buy Naturecare Ultra Clean Floor Cleaner Lemon fragrance 5L at best price",1
"Phenyl - Fresh Natural Fragrance Black","ஃபீனைல் - புதிய இயற்கை வாசனை கருப்பு","phenyl-fresh-natural-fragrance-black","Naturecare Phenyl with Fresh Natural Fragrance in Black variant. Powerful disinfectant and floor cleaner. Ideal for bathrooms and floors. Advanced formula for superior cleaning. 5 Liter pack.","நேச்சர்கேர் ஃபீனைல் புதிய இயற்கை வாசனை கருப்பு வகையில். சக்திவாய்ந்த கிருமிநாசினி மற்றும் தரை சுத்தப்படுத்தி.","Powerful phenyl disinfectant black - 5L","சக்திவாய்ந்த ஃபீனைல் கிருமிநாசினி கருப்பு - 5L","NC-PH-BLK-002",400,349,100,5,L,8,true,false,true,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Phenyl Black Fresh Natural Fragrance 5L - Naturecare","Buy Naturecare Phenyl Black Fresh Natural Fragrance 5L online",2
"Ultra Clean Floor Cleaner - Jasmine Fragrance","அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் - மல்லிகை வாசனை","ultra-clean-floor-cleaner-jasmine","Naturecare Ultra Clean Floor Cleaner with Jasmine Fragrance. Advanced formula that removes tough stains and provides sparkling shine. Superior fragrance leaves your home fresh and clean. 5 Liter pack.","நேச்சர்கேர் அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் மல்லிகை வாசனையுடன். கடினமான கறைகளை நீக்கி மின்னும் ஒளியைத் தரும் மேம்பட்ட சூத்திரம்.","Advanced floor cleaner with jasmine fragrance - 5L","மேம்பட்ட தரை சுத்தப்படுத்தி மல்லிகை வாசனை - 5L","NC-FC-JAS-003",450,399,100,5,L,7,true,true,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Ultra Clean Floor Cleaner Jasmine 5L - Naturecare","Buy Naturecare Ultra Clean Floor Cleaner Jasmine fragrance 5L at best price",3
"Ultra Clean Floor Cleaner - Rose Fragrance","அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் - ரோஜா வாசனை","ultra-clean-floor-cleaner-rose","Naturecare Ultra Clean Floor Cleaner with Rose Fragrance. Advanced formula that removes tough stains and provides sparkling shine. Superior fragrance leaves your home fresh and clean. 5 Liter pack.","நேச்சர்கேர் அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் ரோஜா வாசனையுடன். கடினமான கறைகளை நீக்கி மின்னும் ஒளியைத் தரும் மேம்பட்ட சூத்திரம்.","Advanced floor cleaner with rose fragrance - 5L","மேம்பட்ட தரை சுத்தப்படுத்தி ரோஜா வாசனை - 5L","NC-FC-ROS-004",450,399,100,5,L,7,true,true,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Ultra Clean Floor Cleaner Rose 5L - Naturecare","Buy Naturecare Ultra Clean Floor Cleaner Rose fragrance 5L at best price",4
"Ultra Clean Floor Cleaner - Lavender Fragrance","அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் - லாவெண்டர் வாசனை","ultra-clean-floor-cleaner-lavender","Naturecare Ultra Clean Floor Cleaner with Lavender Fragrance. Advanced formula that removes tough stains and provides sparkling shine. Superior fragrance leaves your home fresh and clean. 5 Liter pack.","நேச்சர்கேர் அல்ட்ரா கிளீன் ஃப்ளோர் க்ளீனர் லாவெண்டர் வாசனையுடன். கடினமான கறைகளை நீக்கி மின்னும் ஒளியைத் தரும் மேம்பட்ட சூத்திரம்.","Advanced floor cleaner with lavender fragrance - 5L","மேம்பட்ட தரை சுத்தப்படுத்தி லாவெண்டர் வாசனை - 5L","NC-FC-LAV-005",450,399,100,5,L,7,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Ultra Clean Floor Cleaner Lavender 5L - Naturecare","Buy Naturecare Ultra Clean Floor Cleaner Lavender fragrance 5L at best price",5
"Phenyl Fresh Natural Fragrance - Jasmine","ஃபீனைல் புதிய இயற்கை வாசனை - மல்லிகை","phenyl-fresh-natural-fragrance-jasmine","Naturecare Phenyl with Fresh Natural Jasmine Fragrance. Powerful disinfectant and floor cleaner. Ideal for bathrooms and floors. Advanced formula for superior cleaning and fresh aroma. 5 Liter pack.","நேச்சர்கேர் ஃபீனைல் புதிய இயற்கை மல்லிகை வாசனையுடன். சக்திவாய்ந்த கிருமிநாசினி மற்றும் தரை சுத்தப்படுத்தி. குளியலறைகள் மற்றும் தரைகளுக்கு ஏற்றது.","Phenyl with jasmine fragrance - 5L","மல்லிகை வாசனையுடன் ஃபீனைல் - 5L","NC-PH-JAS-006",400,349,100,5,L,8,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Phenyl Jasmine Fragrance 5L - Naturecare","Buy Naturecare Phenyl Jasmine Fresh Natural Fragrance 5L online",6
"Phenyl Fresh Natural Fragrance - Rose","ஃபீனைல் புதிய இயற்கை வாசனை - ரோஜா","phenyl-fresh-natural-fragrance-rose","Naturecare Phenyl with Fresh Natural Rose Fragrance. Powerful disinfectant and floor cleaner. Ideal for bathrooms and floors. Advanced formula for superior cleaning and pleasant rose aroma. 5 Liter pack.","நேச்சர்கேர் ஃபீனைல் புதிய இயற்கை ரோஜா வாசனையுடன். சக்திவாய்ந்த கிருமிநாசினி மற்றும் தரை சுத்தப்படுத்தி. குளியலறைகள் மற்றும் தரைகளுக்கு ஏற்றது.","Phenyl with rose fragrance - 5L","ரோஜா வாசனையுடன் ஃபீனைல் - 5L","NC-PH-ROS-007",400,349,100,5,L,8,true,true,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Phenyl Rose Fragrance 5L - Naturecare","Buy Naturecare Phenyl Rose Fresh Natural Fragrance 5L online",7
"Phenyl Fresh Natural Fragrance - Lavender","ஃபீனைல் புதிய இயற்கை வாசனை - லாவெண்டர்","phenyl-fresh-natural-fragrance-lavender","Naturecare Phenyl with Fresh Natural Lavender Fragrance. Powerful disinfectant and floor cleaner. Ideal for bathrooms and floors. Advanced formula for superior cleaning and calming lavender aroma. 5 Liter pack.","நேச்சர்கேர் ஃபீனைல் புதிய இயற்கை லாவெண்டர் வாசனையுடன். சக்திவாய்ந்த கிருமிநாசினி மற்றும் தரை சுத்தப்படுத்தி. குளியலறைகள் மற்றும் தரைகளுக்கு ஏற்றது.","Phenyl with lavender fragrance - 5L","லாவெண்டர் வாசனையுடன் ஃபீனைல் - 5L","NC-PH-LAV-008",400,349,100,5,L,8,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Phenyl Lavender Fragrance 5L - Naturecare","Buy Naturecare Phenyl Lavender Fresh Natural Fragrance 5L online",8
"Phenyl Compound Concentrate","ஃபீனைல் கலவை செறிவு","phenyl-compound-concentrate","Naturecare Phenyl Compound Concentrate. Highly concentrated formula for effective disinfection and cleaning. Economical and powerful solution for floors and bathrooms. 5 Liter pack.","நேச்சர்கேர் ஃபீனைல் கலவை செறிவு. பயனுள்ள கிருமிநாசினி மற்றும் சுத்தப்படுத்தலுக்கான மிகவும் செறிவூட்டப்பட்ட சூத்திரம்.","Concentrated phenyl compound - 5L","செறிவூட்டப்பட்ட ஃபீனைல் கலவை - 5L","NC-PH-CON-009",450,399,100,5,L,8,true,true,true,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Phenyl Compound Concentrate 5L - Naturecare","Buy Naturecare Phenyl Compound Concentrate 5L at best price",9
"Room Freshener - Green Apple Fragrance","அறை புதுப்பிப்பான் - பச்சை ஆப்பிள் வாசனை","room-freshener-green-apple-fragrance","Naturecare Room Freshener with Green Apple Fragrance. Safe for daily use. Refreshes air instantly and removes bad odours. Long-lasting fresh fragrance for your home and office. 5 Liter pack.","நேச்சர்கேர் அறை புதுப்பிப்பான் பச்சை ஆப்பிள் வாசனையுடன். தினசரி பயன்பாட்டிற்கு பாதுகாப்பானது. காற்றை உடனடியாக புதுப்பித்து கெட்ட வாசனைகளை நீக்குகிறது.","Room freshener green apple - 5L","அறை புதுப்பிப்பான் பச்சை ஆப்பிள் - 5L","NC-RF-GA-010",350,299,100,5,L,6,true,false,false,18,"Not applicable - Air freshener","பொருந்தாது - காற்று புதுப்பிப்பான்","Room Freshener Green Apple 5L - Naturecare","Buy Naturecare Room Freshener Green Apple Fragrance 5L online",10
"Phenyl Fresh Natural Fragrance - Lemon","ஃபீனைல் புதிய இயற்கை வாசனை - எலுமிச்சை","phenyl-fresh-natural-fragrance-lemon","Naturecare Phenyl with Fresh Natural Lemon Fragrance. Powerful disinfectant and floor cleaner. Ideal for bathrooms and floors. Advanced formula for superior cleaning and refreshing lemon aroma. 5 Liter pack.","நேச்சர்கேர் ஃபீனைல் புதிய இயற்கை எலுமிச்சை வாசனையுடன். சக்திவாய்ந்த கிருமிநாசினி மற்றும் தரை சுத்தப்படுத்தி. குளியலறைகள் மற்றும் தரைகளுக்கு ஏற்றது.","Phenyl with lemon fragrance - 5L","எலுமிச்சை வாசனையுடன் ஃபீனைல் - 5L","NC-PH-LEM-016",400,349,100,5,L,8,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Phenyl Lemon Fragrance 5L - Naturecare","Buy Naturecare Phenyl Lemon Fresh Natural Fragrance 5L online",11
"Room Freshener - Lavender Fragrance","அறை புதுப்பிப்பான் - லாவெண்டர் வாசனை","room-freshener-lavender-fragrance","Naturecare Room Freshener with Lavender Fragrance. Instantly removes bad odours and provides long-lasting fresh fragrance. Safe for daily use. Refreshes air instantly for your home and office. 5 Liter pack.","நேச்சர்கேர் அறை புதுப்பிப்பான் லாவெண்டர் வாசனையுடன். கெட்ட வாசனைகளை உடனடியாக நீக்கி நீண்ட நேரம் புதிய வாசனையைத் தருகிறது.","Room freshener lavender - 5L","அறை புதுப்பிப்பான் லாவெண்டர் - 5L","NC-RF-LAV-017",350,299,100,5,L,6,true,false,false,18,"Not applicable - Air freshener","பொருந்தாது - காற்று புதுப்பிப்பான்","Room Freshener Lavender 5L - Naturecare","Buy Naturecare Room Freshener Lavender Fragrance 5L online",12
